screen_name,r,w
468,"[  0.           0.270162     1.57782055   0.51948402  -2.19880538
  -1.92864338  -0.62098483  -1.67932136 -10.29007272 -10.01991072
  -8.71225217  -9.7705887    2.46635929   2.73652129   4.04417984
   2.98584331]","[  2.46635929 -10.29007272  -2.19880538   0.51948402   1.57782055
   0.270162  ]"
626,"[0.         0.9634632  0.61599182 2.21279133 0.9375765  1.9010397
 1.55356833 3.15036783 0.15380294 1.11726614 0.76979477 2.36659428
 0.12544787 1.08891106 0.74143969 2.3382392 ]",[0.12544787 0.15380294 0.9375765  2.21279133 0.61599182 0.9634632 ]
600,"[ 0.          0.12070689 36.73630803  3.60420254  0.34583169  0.46653858
 37.08213972  3.95003423  0.60047124  0.72117813 37.33677927  4.20467379
 25.91174882 26.03245571 62.64805685 29.51595137]",[25.91174882  0.60047124  0.34583169  3.60420254 36.73630803  0.12070689]
939,"[ 0.          2.29424587  0.18958165 -1.15044694  0.51273899  2.80698486
  0.70232064 -0.63770795  0.06362026  2.35786613  0.25320192 -1.08682668
 -0.21879863  2.07544724 -0.02921698 -1.36924557]",[-0.21879863  0.06362026  0.51273899 -1.15044694  0.18958165  2.29424587]
1028,"[0.         0.22662525 0.69464212 2.91674112 0.84913917 1.07576442
 1.54378129 3.76588029 1.43850553 1.66513078 2.13314765 4.35524665
 3.57614483 3.80277008 4.27078695 6.49288595]",[3.57614483 1.43850553 0.84913917 2.91674112 0.69464212 0.22662525]
157,"[ 0.          0.97616369  0.56631101 -0.29763734  0.82692287  1.80308656
  1.39323388  0.52928554  0.34164888  1.31781257  0.90795989  0.04401155
  1.38242796  2.35859165  1.94873897  1.08479062]",[ 1.38242796  0.34164888  0.82692287 -0.29763734  0.56631101  0.97616369]
489,"[ 0.          0.20147295  0.72093036  2.03101123  3.04410218  3.24557512
  3.76503254  5.07511341  1.51011696  1.71158991  2.23104733  3.54112819
 -1.32307776 -1.12160481 -0.6021474   0.70793347]",[-1.32307776  1.51011696  3.04410218  2.03101123  0.72093036  0.20147295]
594,"[0.         0.85396919 0.77933638 3.21186413 0.78111304 1.63508223
 1.56044942 3.99297717 0.01516157 0.86913076 0.79449795 3.2270257
 5.01436325 5.86833244 5.79369962 8.22622738]",[5.01436325 0.01516157 0.78111304 3.21186413 0.77933638 0.85396919]
938,"[ 0.          0.09472271  0.87920059  5.49037844  2.84302932  2.93775204
  3.72222992  8.33340776  4.33846074  4.43318345  5.21766133  9.82883917
 -0.01692952  0.07779319  0.86227107  5.47344891]",[-0.01692952  4.33846074  2.84302932  5.49037844  0.87920059  0.09472271]
1044,"[0.         1.1836428  0.50949589 0.79029635 0.26184198 1.44548478
 0.77133787 1.05213833 0.89475833 2.07840113 1.40425422 1.68505468
 0.59296923 1.77661204 1.10246512 1.38326558]",[0.59296923 0.89475833 0.26184198 0.79029635 0.50949589 1.1836428 ]
230,"[ 0.          0.38333872  0.25970221  3.75110625 -1.53895977 -1.15562105
 -1.27925756  2.21214648  0.4509895   0.83432823  0.71069172  4.20209576
  2.71735445  3.10069317  2.97705666  6.4684607 ]",[ 2.71735445  0.4509895  -1.53895977  3.75110625  0.25970221  0.38333872]
598,"[0.         0.18321537 0.13121492 0.22672823 0.06853116 0.25174653
 0.19974607 0.29525938 0.4279427  0.61115807 0.55915761 0.65467092
 2.45201394 2.63522931 2.58322886 2.67874217]",[2.45201394 0.4279427  0.06853116 0.22672823 0.13121492 0.18321537]
1005,"[0.         0.97905773 0.64333541 0.46175362 0.95899736 1.93805509
 1.60233277 1.42075098 0.93793928 1.91699701 1.58127469 1.3996929
 0.90350983 1.88256756 1.54684524 1.36526345]",[0.90350983 0.93793928 0.95899736 0.46175362 0.64333541 0.97905773]
229,"[0.         0.80594175 0.89389666 1.18513762 1.14744501 1.95338676
 2.04134167 2.33258263 0.67562102 1.48156278 1.56951768 1.86075864
 1.20402171 2.00996346 2.09791837 2.38915933]",[1.20402171 0.67562102 1.14744501 1.18513762 0.89389666 0.80594175]
211,"[ 0.          0.24196217  4.12838391  2.85743352  0.46759586  0.70955802
  4.59597977  3.32502938  0.18399675  0.42595892  4.31238066  3.04143027
 -5.5146718  -5.27270963 -1.38628789 -2.65723828]",[-5.5146718   0.18399675  0.46759586  2.85743352  4.12838391  0.24196217]
48,"[ 0.          0.34695263  0.720089    1.76261407  1.55600585  1.90295848
  2.27609485  3.31861992 -0.69030406 -0.34335143  0.02978494  1.07231001
  0.99346148  1.34041411  1.71355048  2.75607554]",[ 0.99346148 -0.69030406  1.55600585  1.76261407  0.720089    0.34695263]
486,"[0.         0.68414423 0.72838838 0.80311737 0.17613148 0.86027571
 0.90451987 0.97924885 0.87367465 1.55781888 1.60206303 1.67679202
 1.34292977 2.027074   2.07131815 2.14604714]",[1.34292977 0.87367465 0.17613148 0.80311737 0.72838838 0.68414423]
266,"[0.         0.93404703 0.14276074 1.03195091 0.58928618 1.52333322
 0.73204693 1.62123709 0.10143426 1.0354813  0.24419501 1.13338517
 0.30372775 1.23777478 0.44648849 1.33567866]",[0.30372775 0.10143426 0.58928618 1.03195091 0.14276074 0.93404703]
581,"[ 0.          0.67198903 -0.2386336   2.05994121 -0.69116397 -0.01917494
 -0.92979757  1.36877724  0.38670661  1.05869563  0.14807301  2.44664782
  0.75108262  1.42307165  0.51244902  2.81102383]",[ 0.75108262  0.38670661 -0.69116397  2.05994121 -0.2386336   0.67198903]
811,"[ 0.          0.81847785  0.57501952  0.4939216   0.00796854  0.82644639
  0.58298806  0.50189014 -0.08879806  0.72967978  0.48622146  0.40512354
  2.06244808  2.88092592  2.6374676   2.55636968]",[ 2.06244808 -0.08879806  0.00796854  0.4939216   0.57501952  0.81847785]
773,"[ 0.          0.00764379  0.6076291  -0.04600035  2.19717579  2.20481959
  2.8048049   2.15117544  0.59492007  0.60256387  1.20254918  0.54891972
  0.20978993  0.21743373  0.81741904  0.16378958]",[ 0.20978993  0.59492007  2.19717579 -0.04600035  0.6076291   0.00764379]
954,"[ 0.         36.74524083  0.75141103  0.51467524  7.55815781 44.30339865
  8.30956884  8.07283306  7.42210174 44.16734257  8.17351277  7.93677698
  3.88962398 40.63486482  4.64103501  4.40429922]",[ 3.88962398  7.42210174  7.55815781  0.51467524  0.75141103 36.74524083]
284,"[0.         0.35207729 0.23982198 1.88334821 1.19718226 1.54925954
 1.43700423 3.08053047 0.86799709 1.22007437 1.10781907 2.7513453
 1.8960041  2.24808139 2.13582608 3.77935232]",[1.8960041  0.86799709 1.19718226 1.88334821 0.23982198 0.35207729]
172,"[ 0.00000000e+00  1.39206197e-02  3.15758597e+01  1.17503364e+01
 -3.39607716e+01 -3.39468510e+01 -2.38491192e+00 -2.22104353e+01
  9.54877989e+00  9.56270051e+00  4.11246396e+01  2.12991163e+01
 -8.89299797e+01 -8.89160591e+01 -5.73541200e+01 -7.71796433e+01]","[-8.89299797e+01  9.54877989e+00 -3.39607716e+01  1.17503364e+01
  3.15758597e+01  1.39206197e-02]"
369,"[ 0.00000000e+00  6.25360691e-01  8.75057396e-03  1.10049408e+01
  4.76343098e-03  6.30124122e-01  1.35140049e-02  1.10097042e+01
 -6.57657401e+00 -5.95121332e+00 -6.56782344e+00  4.42836678e+00
 -3.98322324e-01  2.27038366e-01 -3.89571750e-01  1.06066185e+01]","[-3.98322324e-01 -6.57657401e+00  4.76343098e-03  1.10049408e+01
  8.75057396e-03  6.25360691e-01]"
904,"[0.         0.34130312 0.35303983 1.22877837 0.63237831 0.97368144
 0.98541814 1.86115668 0.57517556 0.91647869 0.92821539 1.80395393
 2.97359667 3.31489979 3.3266365  4.20237504]",[2.97359667 0.57517556 0.63237831 1.22877837 0.35303983 0.34130312]
13,"[0.         1.21957046 0.22250614 0.15368536 0.63330666 1.85287711
 0.8558128  0.78699201 0.56650453 1.78607499 0.78901068 0.72018989
 0.54566772 1.76523818 0.76817387 0.69935308]",[0.54566772 0.56650453 0.63330666 0.15368536 0.22250614 1.21957046]
1029,"[0.         0.26315148 0.57688676 0.38355847 0.11443951 0.377591
 0.69132627 0.49799799 0.56237684 0.82552833 1.1392636  0.94593531
 1.06955511 1.3327066  1.64644187 1.45311359]",[1.06955511 0.56237684 0.11443951 0.38355847 0.57688676 0.26315148]
1083,"[0.         0.08770058 0.47851114 3.62468246 0.56074579 0.64844636
 1.03925693 4.18542825 0.51515777 0.60285835 0.99366891 4.13984023
 1.93045039 2.01815097 2.40896153 5.55513285]",[1.93045039 0.51515777 0.56074579 3.62468246 0.47851114 0.08770058]
701,"[ 0.          0.22570541  0.36455835 -4.43463559 -2.89694709 -2.67124168
 -2.53238874 -7.33158268  1.38823599  1.61394141  1.75279434 -3.04639959
  5.92484735  6.15055276  6.2894057   1.49021176]",[ 5.92484735  1.38823599 -2.89694709 -4.43463559  0.36455835  0.22570541]
473,"[ 0.          0.11506505  0.26642913  1.17221798  0.07801379  0.19307884
  0.34444292  1.25023177  0.89683123  1.01189628  1.16326036  2.06904921
 17.25429337 17.36935841 17.52072249 18.42651134]",[17.25429337  0.89683123  0.07801379  1.17221798  0.26642913  0.11506505]
144,"[ 0.          0.38357035  0.9424762   0.63597795 -0.17326535  0.21030501
  0.76921085  0.4627126   0.64047818  1.02404853  1.58295437  1.27645612
  1.68252993  2.06610029  2.62500613  2.31850788]",[ 1.68252993  0.64047818 -0.17326535  0.63597795  0.9424762   0.38357035]
934,"[0.00000000e+00 3.95557387e-01 2.64863223e-01 5.53568274e+01
 4.41810798e+00 4.81366536e+00 4.68297120e+00 5.97749353e+01
 4.15099649e-01 8.10657036e-01 6.79962872e-01 5.57719270e+01
 2.16968499e+02 2.17364056e+02 2.17233362e+02 2.72325326e+02]","[216.96849864   0.41509965   4.41810798  55.35682736   0.26486322
   0.39555739]"
338,"[ 0.          1.05649223  0.89412506  0.38269675  0.11071892  1.16721115
  1.00484398  0.49341566  0.25226539  1.30875762  1.14639045  0.63496213
 -0.10307952  0.95341271  0.79104554  0.27961723]",[-0.10307952  0.25226539  0.11071892  0.38269675  0.89412506  1.05649223]
