,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,NT+nt,NT+rp,NT+rt,NT+tw,RP+nt,RP+rp,RP+rt,RP+tw,RT+nt,RT+rp,RT+rt,RT+tw,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
719,2178,5004,201537,1.7,0.2,1.4,2,5,3,3779,0.0,1.09812791,0.70848714,0.7200062,0.55599903,1.65412694,1.26448617,1.27600523,0.2483074,1.34643531,0.95679454,0.9683136,1.0,1.0,0.0,2.4,5.8,1,1,1.2377754677176452e-18,0.0
720,1045,698,4694,3.125,0.625,2.375,7,1,0,2779,0.0,0.95743327,0.94009159,0.24466414,0.79222847,1.74966175,1.73232006,1.03689262,1.40832409,2.36575736,2.34841568,1.65298823,0.0,2.0,1.1428571428571428,2.5714285714285716,4.857142857142857,2,0,0.007431560496268077,0.0
721,431,1597,1793,3.142857142857143,0.21428571428571427,1.0,6,1,7,1369,0.0,2.65745884,0.32388701,0.46129051,0.79678293,3.45424177,1.12066994,1.25807344,-2.9891136,-0.33165476,-2.66522659,-2.52782309,1.7692307692307692,2.3846153846153846,1.6153846153846154,6.3076923076923075,15.153846153846153,0,0,3.3270517317424976e-20,0.0
722,2639,4672,101095,1.625,0.375,157.25,1,6,1,2369,0.0,0.38616783,0.11678833,1.12137653,-1.45053432,-1.06436649,-1.333746,-0.32915779,17.3093961,17.69556394,17.42618443,18.43077264,0.5,8.0,2.0,7.5,8.0,1,1,0.03987860640308038,2.9715100757049335e-06
723,6007,5740,120825,6.636363636363637,1.4545454545454546,214.54545454545453,2,8,1,4503,0.0,0.15482393,0.12067443,4.20237267,0.42353367,0.57835759,0.5442081,4.62590634,-0.07724604,0.07757789,0.0434284,4.12512664,0.3333333333333333,2.6666666666666665,1.0,10.0,36.0,1,2,6.815529336816912e-19,0.0
724,416,178,1959,0.9375,0.125,16.8125,10,6,0,2034,0.0,0.34215217,0.06800301,4.10899231,0.49925911,0.84141128,0.56726212,4.60825141,0.82050026,1.16265243,0.88850327,4.92949257,0.0,5.6,0.5,14.1,24.4,1,1,-1.1430111114894928e-21,0.0
725,10,69,1415,2.2857142857142856,0.5714285714285714,2498.285714285714,1,6,0,1842,0.0,1.06099041,0.28022814,0.09042436,0.2220298,1.28302021,0.50225795,0.31245416,0.82935331,1.89034372,1.10958145,0.91977767,0.0,2.0,1.0,6.0,18.0,2,1,0.015978617252425314,0.0
726,138,41,1957,4.616666666666666,1.05,2.933333333333333,33,21,6,829,0.0,0.822026665,0.00444472404,4.13345083,0.307988524,1.13001519,0.312433248,4.44143935,0.35193706,1.17396373,0.356381784,4.48538789,0.15384615384615385,5.153846153846154,1.0256410256410255,13.461538461538462,27.358974358974358,5,2,0.000880040869113785,7.31448634019676e-06
727,554,1062,9670,1.4482758620689655,0.2413793103448276,96.55172413793103,6,21,2,372,0.0,0.3661366,0.20295323,0.34647804,0.18609889,0.55223549,0.38905212,0.53257693,15.28798892,15.65412552,15.49094215,15.63446695,0.375,1.25,1.75,2.25,5.625,0,2,-2.843121080672071e-19,0.0
728,19460,5016,240400,3.125,0.375,187.5,0,35,5,2728,0.0,0.08558055,0.33513099,-0.66851083,2.1474302,2.23301075,2.48256119,1.47891937,1.56954413,1.65512468,1.90467512,0.90103329,1.0,1.2,0.2,1.6,3.2,1,2,1.8488043660178866e-18,0.0
