screen_name,r,w
794,"[ 0.          0.26623725  2.20776924 -0.60015093  0.51804519  0.78428244
  2.72581443 -0.08210574  0.73878517  1.00502242  2.94655441  0.13863424
 -1.29230318 -1.02606593  0.91546606 -1.89245411]",[-1.29230318  0.73878517  0.51804519 -0.60015093  2.20776924  0.26623725]
316,"[ 0.          0.30931617  7.69656723  0.57663024 -7.22671652 -6.91740035
  0.46985071 -6.65008628  0.03900847  0.34832465  7.7355757   0.61563871
  0.01798127  0.32729745  7.7145485   0.59461151]",[ 0.01798127  0.03900847 -7.22671652  0.57663024  7.69656723  0.30931617]
231,"[ 0.          0.98613652  0.86424059 14.85213082 34.42398873 35.41012525
 35.28822932 49.27611956  7.87103301  8.85716952  8.7352736  22.72316383
  2.70910254  3.69523905  3.57334312 17.56123336]",[ 2.70910254  7.87103301 34.42398873 14.85213082  0.86424059  0.98613652]
467,"[ 0.          0.14705231  1.47635035  0.27107978  0.87253429  1.0195866
  2.34888464  1.14361407  0.64762662  0.79467893  2.12397697  0.9187064
 -0.50728665 -0.36023434  0.9690637  -0.23620687]",[-0.50728665  0.64762662  0.87253429  0.27107978  1.47635035  0.14705231]
828,"[ 0.00000000e+00  3.32317961e-02 -1.80731125e+01  2.55583342e+01
 -1.24851132e+00 -1.21527952e+00 -1.93216238e+01  2.43098229e+01
 -2.36181375e+00 -2.32858195e+00 -2.04349262e+01  2.31965205e+01
 -1.68933886e+01 -1.68601568e+01 -3.49665010e+01  8.66494566e+00]","[-16.89338855  -2.36181375  -1.24851132  25.55833421 -18.07311246
   0.0332318 ]"
609,"[ 0.          0.58902158  0.40277136 -0.87085407  0.41285805  1.00187963
  0.81562941 -0.45799603 -1.89394993 -1.30492835 -1.49117857 -2.764804
  2.90320479  3.49222637  3.30597616  2.03235072]",[ 2.90320479 -1.89394993  0.41285805 -0.87085407  0.40277136  0.58902158]
163,"[ 0.          0.85152558  1.42205424  0.22535366  0.5314735   1.38299908
  1.95352774  0.75682716  0.85356406  1.70508963  2.2756183   1.07891771
 -0.59154768  0.2599779   0.83050657 -0.36619402]",[-0.59154768  0.85356406  0.5314735   0.22535366  1.42205424  0.85152558]
318,"[0.         0.89435888 0.23091362 2.86007318 0.81846117 1.71282005
 1.04937479 3.67853435 0.46611638 1.36047526 0.69703    3.32618956
 0.54566601 1.44002489 0.77657963 3.40573919]",[0.54566601 0.46611638 0.81846117 2.86007318 0.23091362 0.89435888]
676,"[0.         0.14548083 0.4851487  1.33919438 0.78386387 0.9293447
 1.26901256 2.12305824 0.70625881 0.85173964 1.1914075  2.04545318
 1.12809846 1.2735793  1.61324716 2.46729284]",[1.12809846 0.70625881 0.78386387 1.33919438 0.4851487  0.14548083]
744,"[ 0.          0.76864624 -0.56425792  3.81382231  0.91863362  1.68727986
  0.3543757   4.73245593  0.14642031  0.91506656 -0.41783761  3.96024262
 -0.69127256  0.07737368 -1.25553048  3.12254975]",[-0.69127256  0.14642031  0.91863362  3.81382231 -0.56425792  0.76864624]
360,"[ 0.          0.73879631  1.92612444  2.9455098   0.12429023  0.86308654
  2.05041467  3.06980003  0.77229175  1.51108806  2.69841619  3.71780156
 -4.76334477 -4.02454846 -2.83722033 -1.81783497]",[-4.76334477  0.77229175  0.12429023  2.9455098   1.92612444  0.73879631]
538,"[ 0.00000000e+00  1.29022195e-01  1.32359242e+01  1.48214341e-03
  8.35153700e-01  9.64175894e-01  1.40710779e+01  8.36635843e-01
  9.12698923e-01  1.04172112e+00  1.41486231e+01  9.14181067e-01
 -2.80158355e+01 -2.78868133e+01 -1.47799114e+01 -2.80143534e+01]","[-2.80158355e+01  9.12698923e-01  8.35153700e-01  1.48214341e-03
  1.32359242e+01  1.29022195e-01]"
894,"[ 0.          0.24640295  2.36353579 -1.26969218  0.80701178  1.05341473
  3.17054758 -0.4626804  -0.06102448  0.18537846  2.30251131 -1.33071667
  2.09263819  2.33904114  4.45617398  0.822946  ]",[ 2.09263819 -0.06102448  0.80701178 -1.26969218  2.36353579  0.24640295]
158,"[ 0.          0.8705591   0.38025446  0.93262543  0.81082864  1.68138773
  1.19108309  1.74345406  0.43505095  1.30561005  0.81530541  1.36767638
 17.14720831 18.01776741 17.52746277 18.07983374]",[17.14720831  0.43505095  0.81082864  0.93262543  0.38025446  0.8705591 ]
234,"[ 0.          0.84396577  1.10233218  1.20968685  0.11401353  0.9579793
  1.21634571  1.32370038  0.63405556  1.47802133  1.73638774  1.84374241
 -0.25542372  0.58854204  0.84690845  0.95426312]",[-0.25542372  0.63405556  0.11401353  1.20968685  1.10233218  0.84396577]
144,"[ 0.          0.04980358  0.67214114 -0.50668987 -1.11378158 -1.063978
 -0.44164044 -1.62047145 -1.92763031 -1.87782673 -1.25548916 -2.43432018
  5.51929871  5.56910229  6.19143985  5.01260884]",[ 5.51929871 -1.92763031 -1.11378158 -0.50668987  0.67214114  0.04980358]
