,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
0,29,222,2291,0.6363636363636364,0.0,1134.3030303030303,5,28,0,1609,0.0,1.0,1.0,1.6,4.8,1,4,-3.1888618221561806e-19,0.0
1,1575,2954,4194,40.63636363636363,4.181818181818182,11.272727272727273,8,0,3,2976,0.36363636363636365,2.272727272727273,0.5454545454545454,9.363636363636363,24.09090909090909,6,0,0.10050591782048664,0.0
2,489,861,6352,1.6666666666666667,0.3333333333333333,0.7777777777777778,5,2,2,5225,0.14285714285714285,2.857142857142857,0.8571428571428571,3.5714285714285716,5.0,1,0,0.015098576383311536,0.0
3,7330,5035,41626,6.333333333333333,0.0,139.16666666666666,0,3,3,3863,2.0,1.6666666666666667,1.0,3.6666666666666665,8.0,0,2,2.9659449797933386e-19,0.0
4,70,51,550,5.375,0.75,1.5,6,0,2,4168,0.25,8.75,0.75,12.125,25.875,0,0,9.091979182234916e-20,0.0
5,95,225,435,6.375,1.3333333333333333,6.5,10,8,6,4304,0.375,2.5,0.3125,7.6875,21.1875,6,0,0.05859627666950379,0.0
6,80,35,3916,2.142857142857143,0.2857142857142857,223.0,6,1,0,703,0.0,1.0,1.0,4.666666666666667,13.0,0,0,1.6985156669216717e-19,0.0
7,616,1022,8059,3.7,0.4,5.1,1,8,1,4581,0.0,1.0,0.5,1.0,3.5,0,0,-2.6144508756381913e-19,0.0
8,4898,4546,226323,0.0,0.0,3.2857142857142856,0,7,0,4113,0.0,0.0,0.0,0.0,0.0,0,3,3.35833154014994e-20,0.0
9,216,71,28560,0.18181818181818182,0.045454545454545456,20.818181818181817,0,72,60,1498,1.2166666666666666,1.3333333333333333,0.0,1.4666666666666666,1.3333333333333333,1,8,-1.048853757973383e-18,0.0
10,1979,759,8939,2.857142857142857,0.0,36.57142857142857,1,6,0,2981,0.0,5.0,1.0,13.0,36.0,2,2,0.0775297064572594,0.0
11,1027,567,13688,1.7142857142857142,0.7142857142857143,0.4857142857142857,16,9,10,3985,0.6923076923076923,5.0,0.2692307692307692,9.653846153846153,19.884615384615383,4,0,0.08962992604502935,0.0
12,10,127,1077,1.4,0.0,1.8,5,5,0,937,0.0,1.4,1.6,2.2,3.0,1,1,-4.154249799196117e-19,0.0
13,140,634,9856,0.6753246753246753,0.37662337662337664,118.64935064935065,5,71,1,2890,0.16666666666666666,5.333333333333333,0.8333333333333334,8.5,23.166666666666668,2,5,0.029815036987380954,0.0005262032765415714
14,1737,2168,58403,5.052631578947368,0.10526315789473684,0.9473684210526315,0,0,19,957,1.1578947368421053,1.0526315789473684,1.0,7.526315789473684,18.57894736842105,1,0,4.071861734731298e-19,0.0
15,1318,1079,43209,1.3333333333333333,0.2222222222222222,278.1666666666667,7,10,1,4347,0.25,1.75,0.375,8.25,17.25,0,0,-3.8660930436720875e-19,0.0
16,41,44,504,0.9166666666666666,0.08333333333333333,618.3333333333334,2,10,0,2809,0.0,2.5,1.0,6.0,13.5,3,1,0.002869870625049915,0.0
