screen_name,r,w
387,"[ 0.          0.01873107  0.92987086  0.56212891 -0.3642042  -0.34547312
  0.56566667  0.19792471 -0.00575544  0.01297563  0.92411542  0.55637346
  1.60808504  1.62681611  2.5379559   2.17021395]",[ 1.60808504 -0.00575544 -0.3642042   0.56212891  0.92987086  0.01873107]
371,"[ 0.          0.0494902   1.30446302  2.38882641 -1.52392492 -1.47443472
 -0.2194619   0.86490149  0.77846675  0.82795696  2.08292977  3.16729316
  1.53410277  1.58359298  2.83856579  3.92292918]",[ 1.53410277  0.77846675 -1.52392492  2.38882641  1.30446302  0.0494902 ]
995,"[ 0.          0.44000096  0.25506871 -0.36875163  0.63100673  1.07100768
  0.88607544  0.2622551   0.14399292  0.58399388  0.39906163 -0.22475871
  3.12301895  3.56301991  3.37808766  2.75426732]",[ 3.12301895  0.14399292  0.63100673 -0.36875163  0.25506871  0.44000096]
65,"[0.         0.72838203 0.50084532 0.5017429  0.55313394 1.28151597
 1.05397926 1.05487684 0.67967742 1.40805945 1.18052274 1.18142032
 1.29362043 2.02200247 1.79446576 1.79536333]",[1.29362043 0.67967742 0.55313394 0.5017429  0.50084532 0.72838203]
22,"[ 0.          0.20040181  0.73276373  0.6777724   2.91964551  3.12004731
  3.65240924  3.59741791 -0.10807841  0.09232339  0.62468531  0.56969399
 -0.4933416  -0.2929398   0.23942213  0.1844308 ]",[-0.4933416  -0.10807841  2.91964551  0.6777724   0.73276373  0.20040181]
134,"[0.         0.37554657 0.53916582 1.71138266 0.45690125 0.83244782
 0.99606707 2.16828391 0.50118226 0.87672883 1.04034808 2.21256492
 1.49681385 1.87236042 2.03597967 3.20819651]",[1.49681385 0.50118226 0.45690125 1.71138266 0.53916582 0.37554657]
624,"[ 0.          0.71694936  1.27046248  1.52156746 -0.46732716  0.24962221
  0.80313532  1.05424031  0.91900283  1.63595219  2.18946531  2.44057029
  0.61336268  1.33031204  1.88382515  2.13493014]",[ 0.61336268  0.91900283 -0.46732716  1.52156746  1.27046248  0.71694936]
137,"[0.         0.47523973 1.03530365 0.58084685 3.44775077 3.92299051
 4.48305443 4.02859762 1.23519659 1.71043632 2.27050024 1.81604344
 0.05272834 0.52796807 1.08803199 0.63357519]",[0.05272834 1.23519659 3.44775077 0.58084685 1.03530365 0.47523973]
413,"[ 0.          0.44060542  2.51158809  0.87283933 -3.34788638 -2.90728096
 -0.83629828 -2.47504705  4.1428836   4.58348902  6.65447169  5.01572292
  0.4203596   0.86096501  2.93194769  1.29319892]",[ 0.4203596   4.1428836  -3.34788638  0.87283933  2.51158809  0.44060542]
126,"[ 0.          0.69823119  0.84172002  2.69816946  0.08991442  0.7881456
  0.93163443  2.78808388  1.60559845  2.30382964  2.44731847  4.30376791
 -0.63117918  0.06705201  0.21054084  2.06699029]",[-0.63117918  1.60559845  0.08991442  2.69816946  0.84172002  0.69823119]
154,"[ 0.          0.64589947  1.78008445 -0.70995284  0.80621723  1.4521167
  2.58630168  0.09626439  1.79964619  2.44554566  3.57973063  1.08969334
  1.9308804   2.57677987  3.71096484  1.22092755]",[ 1.9308804   1.79964619  0.80621723 -0.70995284  1.78008445  0.64589947]
647,"[ 0.          0.38183203  1.61048983  0.70204079  0.17007293  0.55190496
  1.78056276  0.87211372  0.63695777  1.0187898   2.2474476   1.33899856
 -1.33972874 -0.95789671  0.27076109 -0.63768795]",[-1.33972874  0.63695777  0.17007293  0.70204079  1.61048983  0.38183203]
165,"[0.         0.18922057 1.51146727 0.01595004 0.84868032 1.03790089
 2.36014759 0.86463036 0.69271321 0.88193378 2.20418048 0.70866325
 3.11966551 3.30888608 4.63113278 3.13561555]",[3.11966551 0.69271321 0.84868032 0.01595004 1.51146727 0.18922057]
1005,"[0.         0.93717689 0.58817014 0.30561553 0.0064722  0.9436491
 0.59464235 0.31208773 0.47691339 1.41409028 1.06508353 0.78252892
 0.61828905 1.55546594 1.20645919 0.92390458]",[0.61828905 0.47691339 0.0064722  0.30561553 0.58817014 0.93717689]
852,"[  0.          18.18780024   0.19136804   6.77381813 -17.79468505
   0.39311519 -17.60331701 -11.02086692   0.46988674  18.65768698
   0.66125478   7.24370487   6.28942349  24.47722373   6.48079153
  13.06324162]","[  6.28942349   0.46988674 -17.79468505   6.77381813   0.19136804
  18.18780024]"
261,"[ 0.00000000e+00  2.90149113e-03  2.44686437e+00  1.29423587e-01
  6.88578255e-01  6.91479746e-01  3.13544262e+00  8.18001842e-01
  9.91777548e-01  9.94679039e-01  3.43864192e+00  1.12120114e+00
 -3.12557835e+00 -3.12267686e+00 -6.78713981e-01 -2.99615476e+00]","[-3.12557835e+00  9.91777548e-01  6.88578255e-01  1.29423587e-01
  2.44686437e+00  2.90149113e-03]"
29,"[ 0.          0.56686971  1.69452153  1.70131439 -0.59018774 -0.02331803
  1.10433379  1.11112664  0.40924512  0.97611483  2.10376665  2.11055951
 -1.86139006 -1.29452035 -0.16686853 -0.16007568]",[-1.86139006  0.40924512 -0.59018774  1.70131439  1.69452153  0.56686971]
1053,"[0.         0.75298294 0.48846073 0.68538843 0.86560127 1.61858422
 1.354062   1.5509897  0.4841842  1.23716714 0.97264493 1.16957263
 1.32996392 2.08294687 1.81842465 2.01535235]",[1.32996392 0.4841842  0.86560127 0.68538843 0.48846073 0.75298294]
187,"[ 0.          0.45955917  0.62396625 17.28100013  0.7584352   1.21799437
  1.38240145 18.03943533  0.13547902  0.59503819  0.75944527 17.41647915
 41.16836514 41.62792432 41.79233139 58.44936527]",[41.16836514  0.13547902  0.7584352  17.28100013  0.62396625  0.45955917]
181,"[ 0.          0.18009552  1.51449236  1.39972701  0.06340844  0.24350396
  1.5779008   1.46313545  0.56081811  0.74091363  2.07531047  1.96054512
 -0.65568948 -0.47559396  0.85880288  0.74403753]",[-0.65568948  0.56081811  0.06340844  1.39972701  1.51449236  0.18009552]
827,"[  0.           0.84265308   0.78484153  32.78159738   1.41003448
   2.25268756   2.19487601  34.19163186   0.06882162   0.9114747
   0.85366315  32.850419   -30.33441791 -29.49176483 -29.54957639
   2.44717946]","[-30.33441791   0.06882162   1.41003448  32.78159738   0.78484153
   0.84265308]"
723,"[ 0.          0.44490896  1.3719692   0.58834498  1.2384761   1.68338507
  2.61044531  1.82682108  0.80538066  1.25028962  2.17734987  1.39372564
 -0.37644876  0.0684602   0.99552044  0.21189621]",[-0.37644876  0.80538066  1.2384761   0.58834498  1.3719692   0.44490896]
1035,"[0.         0.69445508 0.95445394 0.96746254 0.40604866 1.10050373
 1.3605026  1.3735112  0.56309498 1.25755005 1.51754892 1.53055752
 2.36083249 3.05528757 3.31528643 3.32829503]",[2.36083249 0.56309498 0.40604866 0.96746254 0.95445394 0.69445508]
135,"[0.         0.23553266 1.43423246 0.25733207 1.56768537 1.80321803
 3.00191783 1.82501744 0.66813215 0.90366481 2.10236461 0.92546422
 4.47017462 4.70570728 5.90440708 4.7275067 ]",[4.47017462 0.66813215 1.56768537 0.25733207 1.43423246 0.23553266]
543,"[ 0.          0.63594594  5.55991353  0.04922813  0.62164029  1.25758623
  6.18155382  0.67086843  0.72936095  1.36530689  6.28927448  0.77858908
 -7.32291894 -6.686973   -1.76300541 -7.27369081]",[-7.32291894  0.72936095  0.62164029  0.04922813  5.55991353  0.63594594]
640,"[0.         0.75786785 0.46186165 1.15148604 0.06077429 0.81864214
 0.52263593 1.21226032 0.18615224 0.94402009 0.64801389 1.33763828
 1.11790228 1.87577013 1.57976393 2.26938832]",[1.11790228 0.18615224 0.06077429 1.15148604 0.46186165 0.75786785]
713,"[0.         0.51413174 0.71687067 3.21556372 0.01959004 0.53372178
 0.7364607  3.23515376 0.14832617 0.66245791 0.86519684 3.3638899
 2.99981984 3.51395158 3.7166905  6.21538356]",[2.99981984 0.14832617 0.01959004 3.21556372 0.71687067 0.51413174]
